Name,Year,Build,Cores,Threads,Base,Turbo,Cache,Memory capacity,PCIe,TDP
AMD EPYC 7452,2019 Q3,7 nm,32,64,2.35,3.35,128,2000,128.0,155
AMD EPYC 7402P,2019 Q3,7 nm,24,48,2.8,3.35,128,4000,128.0,180
AMD EPYC 7371,2018 Q4,14 nm,16,32,3.1,3.8,64,2000,128.0,200
AMD Athlon Silver 3050U,2020 Q1,14 nm,2,2,2.3,3.2,4,32,12.0,15
AMD Athlon PRO 200GE,2018 Q3,14 nm,2,4,3.2,3.2,4,64,20.0,35
AMD Athlon Gold 3150U,2020 Q1,14 nm,2,4,2.4,3.3,4,32,12.0,15
AMD Athlon 300U,2019 Q1,14 nm,2,4,2.4,3.3,4,32,12.0,15
AMD Athlon 3000G,2019 Q4,14 nm,2,4,3.5,3.5,4,128,6.0,35
AMD Athlon 240GE,2018 Q4,14 nm,2,4,3.5,3.5,4,64,12.0,35
AMD Athlon 220GE,2018 Q4,14 nm,2,4,3.4,3.4,4,64,12.0,35
AMD Athlon 200GE,2018 Q3,14 nm,2,4,3.2,3.2,4,64,12.0,35
AMD A9-9425,2016 Q1,28 nm,2,2,3.1,3.7,1,8,8.0,15
AMD A9-9420e,2018 Q1,28 nm,2,2,1.8,2.7,1,8,8.0,6
AMD A8-7600,2014 Q3,28 nm,4,4,3.1,3.8,4,64,8.0,65
AMD A8-7410,2015 Q2,28 nm,4,4,2.2,2.5,2,8,8.0,15
AMD A6-9225,2018 Q2,28 nm,2,2,2.6,3.0,1,8,8.0,15
AMD A6-9220C,2017 Q2,28 nm,2,2,1.8,2.7,1,8,6.0,6
AMD A6-9220,2017 Q2,28 nm,2,2,2.5,2.9,1,8,6.0,15
AMD A4-9125,2018 Q4,28 nm,2,2,2.3,2.6,1,12,8.0,15
AMD A4-9120C,2019 Q1,28 nm,2,2,1.6,2.4,1,12,8.0,6
AMD A4-9120,2017 Q2,28 nm,2,2,2.2,2.5,1,4,8.0,15
AMD A10-9700,2017 Q3,28 nm,4,4,3.5,3.8,2,32,8.0,65
AMD 3020e,2020 Q1,28 nm,2,2,1.2,2.6,4,32,8.0,6
