Name,Year,Build,Cores,Threads,Base,Turbo,Cache,Memory capacity,PCIe,TDP
Intel Xeon E5-1650,2012 Q1,32 nm,6,12,3.2,3.8,12.0,256.0,40.0,30
Intel Xeon E3-1270 v6,2017 Q1,14 nm+,4,8,3.8,4.2,8.0,64.0,16.0,72
Intel Xeon E3-1270,2011 Q2,32 nm,4,8,3.4,3.8,8.0,32.0,20.0,80
Intel Xeon E-2288G,2019 Q2,14 nm,8,16,3.7,5.0,16.0,128.0,16.0,95
Intel Pentium Silver N5030,2019 Q4,14 nm,4,4,1.1,3.1,4.0,8.0,6.0,6
Intel Pentium Silver N5000,2017 Q4,14 nm,4,4,1.1,2.7,4.0,8.0,6.0,6
Intel Pentium Silver J5005,2017 Q4,14 nm,4,4,1.5,2.8,4.0,8.0,6.0,10
Intel Pentium N4200,2016 Q3,14 nm,4,4,1.1,2.5,2.0,8.0,6.0,6
Intel Pentium N3700,2015 Q1,14 nm,4,4,1.6,2.4,2.0,8.0,4.0,6
Intel Pentium Gold G6400,2020 Q2,14 nm++,2,4,4.0,4.0,4.0,128.0,16.0,58
Intel Pentium Gold G5420,2019 Q2,14 nm++,2,4,3.8,3.8,4.0,64.0,16.0,54
Intel Pentium Gold G5400,2018 Q2,14 nm++,2,4,3.7,3.7,4.0,64.0,16.0,58
Intel Pentium Gold 6405U,2019 Q4,14 nm++,2,4,2.4,2.4,2.0,64.0,12.0,15
Intel Pentium Gold 5405U,2019 Q1,14 nm++,2,4,2.3,2.3,2.0,64.0,12.0,15
Intel Pentium Gold 4425Y,2019 Q1,14 nm++,2,4,1.7,1.7,2.0,16.0,10.0,6
Intel Pentium Gold 4417U,2019 Q1,14 nm++,2,4,2.3,2.3,2.0,32.0,12.0,15
Intel Pentium Gold 4415Y,2017 Q2,14 nm+,2,4,1.6,1.6,2.0,10.0,16.0,6
Intel Pentium Gold 4415U,2017 Q1,14 nm+,2,4,2.3,2.3,2.0,32.0,12.0,15
Intel Pentium G4600,2017 Q1,14 nm+,2,4,3.6,3.6,3.0,64.0,16.0,51
