Name,Year,Build,Cores,Threads,Base,Turbo,Cache,Memory capacity,TDP
MediaTek MT6750,2016 Q2,28 nm HPM,8,8,1.0,1.5,0.5,3,0
MediaTek MT6739,2017 Q4,28 nm HPM,4,4,1.5,1.5,1.0,2,0
MediaTek MT6737T,2016 Q2,28 nm,4,4,1.5,1.5,1.0,3,7
MediaTek MT6737,2016 Q2,28 nm HPM,4,4,1.3,1.3,1.0,3,7
MediaTek MT6735P,2014 Q4,28 nm HPM,4,4,1.0,1.0,1.0,3,5
MediaTek MT6735,2015 Q2,28 nm HPM,4,4,1.3,1.3,1.0,3,5
MediaTek MT6595,2013 Q4,28 nm HPM,8,8,1.7,2.2,2.0,2,0
MediaTek MT6592,2013 Q4,28 nm HPM,8,8,1.7,2.0,1.0,2,0
MediaTek MT6589T,2013 Q3,28 nm,4,4,1.5,1.5,1.0,4,0
MediaTek MT6582M,2014 Q1,28 nm,4,4,1.3,1.3,0.512,2,0
MediaTek MT6582,2013 Q3,28 nm,4,4,1.3,1.3,0.512,2,0
MediaTek MT6580,2015 Q1,28 nm,4,4,1.3,1.3,0.512,2,0
MediaTek Helio P95,2020 Q1,12 nm FinFET+,8,8,2.0,2.2,2.0,8,5
MediaTek Helio P60T,2018 Q1,12 nm HPM,8,8,2.0,2.0,2.0,8,5
MediaTek Helio G95,2020 Q3,12 nm FFC,8,8,2.05,2.05,2.0,8,5
MediaTek Helio G85,2020 Q1,12 nm FFC,8,8,1.8,2.0,2.0,8,5
MediaTek Helio G80,2020 Q1,12 nm FFC,8,8,1.8,2.0,1.0,8,5
MediaTek Helio G70,2020 Q1,12 nm FFC,8,8,1.7,2.0,2.0,8,5
MediaTek Helio A25,2020 Q1,12 nm FinFET,8,8,1.5,1.8,1.0,4,5
MediaTek Dimensity 800U 5G,2020 Q4,7 nm N7,8,8,2.0,2.4,2.0,16,10
